#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|/data/spinprng_qs256_stream003.bin|  3.38e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.71756790|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.76838263|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.62031877|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.97059585|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.48826889|  PASSED  
        diehard_opso|   0|   2097152|     100|0.08112010|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.99318846|  PASSED  
         diehard_dna|   0|   2097152|     100|0.00869257|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.45413103|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.53028315|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.99998777|   WEAK   
    diehard_2dsphere|   2|      8000|     100|0.97405243|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.26304477|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.64420980|  PASSED  
        diehard_sums|   0|       100|     100|0.02524932|  PASSED  
        diehard_runs|   0|    100000|     100|0.44853092|  PASSED  
        diehard_runs|   0|    100000|     100|0.57223110|  PASSED  
       diehard_craps|   0|    200000|     100|0.33406523|  PASSED  
       diehard_craps|   0|    200000|     100|0.45960123|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00585044|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
         sts_monobit|   1|    100000|     100|0.55301295|  PASSED  
            sts_runs|   2|    100000|     100|0.77169274|  PASSED  
          sts_serial|   1|    100000|     100|0.40730384|  PASSED  
          sts_serial|   2|    100000|     100|0.44361766|  PASSED  
          sts_serial|   3|    100000|     100|0.79063995|  PASSED  
          sts_serial|   3|    100000|     100|0.21914377|  PASSED  
          sts_serial|   4|    100000|     100|0.70236295|  PASSED  
          sts_serial|   4|    100000|     100|0.64551912|  PASSED  
          sts_serial|   5|    100000|     100|0.55601986|  PASSED  
          sts_serial|   5|    100000|     100|0.09114988|  PASSED  
          sts_serial|   6|    100000|     100|0.17777773|  PASSED  
          sts_serial|   6|    100000|     100|0.67616403|  PASSED  
          sts_serial|   7|    100000|     100|0.30593487|  PASSED  
          sts_serial|   7|    100000|     100|0.30864305|  PASSED  
          sts_serial|   8|    100000|     100|0.38775834|  PASSED  
          sts_serial|   8|    100000|     100|0.20317302|  PASSED  
          sts_serial|   9|    100000|     100|0.88340525|  PASSED  
          sts_serial|   9|    100000|     100|0.48933387|  PASSED  
          sts_serial|  10|    100000|     100|0.46649117|  PASSED  
          sts_serial|  10|    100000|     100|0.16493932|  PASSED  
          sts_serial|  11|    100000|     100|0.78439099|  PASSED  
          sts_serial|  11|    100000|     100|0.98998314|  PASSED  
          sts_serial|  12|    100000|     100|0.11233247|  PASSED  
          sts_serial|  12|    100000|     100|0.54423078|  PASSED  
          sts_serial|  13|    100000|     100|0.81276566|  PASSED  
          sts_serial|  13|    100000|     100|0.23694896|  PASSED  
          sts_serial|  14|    100000|     100|0.23489343|  PASSED  
          sts_serial|  14|    100000|     100|0.02154399|  PASSED  
          sts_serial|  15|    100000|     100|0.07869212|  PASSED  
          sts_serial|  15|    100000|     100|0.72843269|  PASSED  
          sts_serial|  16|    100000|     100|0.10563926|  PASSED  
          sts_serial|  16|    100000|     100|0.90909644|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.68773168|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.48113127|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.24054511|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.81654609|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.01861403|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.70289876|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.64659233|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.18890211|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.89866330|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.61039319|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.37686632|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.70990739|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.42451149|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.21135647|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.04409692|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.47037443|  PASSED  
    rgb_permutations|   2|    100000|     100|0.92733820|  PASSED  
    rgb_permutations|   3|    100000|     100|0.77114960|  PASSED  
    rgb_permutations|   4|    100000|     100|0.60969473|  PASSED  
    rgb_permutations|   5|    100000|     100|0.13476706|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.23738378|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.00004420|   WEAK   
      rgb_lagged_sum|   2|   1000000|     100|0.02458227|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.00356213|   WEAK   
      rgb_lagged_sum|   4|   1000000|     100|0.00000000|  FAILED  
      rgb_lagged_sum|   5|   1000000|     100|0.00443681|   WEAK   
      rgb_lagged_sum|   6|   1000000|     100|0.20167341|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.00001687|   WEAK   
      rgb_lagged_sum|   8|   1000000|     100|0.00689836|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.00000001|  FAILED  
      rgb_lagged_sum|  10|   1000000|     100|0.51180975|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.01710240|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.02254734|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.00009688|   WEAK   
      rgb_lagged_sum|  14|   1000000|     100|0.00000000|  FAILED  
      rgb_lagged_sum|  15|   1000000|     100|0.00000000|  FAILED  
      rgb_lagged_sum|  16|   1000000|     100|0.45787746|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.00047512|   WEAK   
      rgb_lagged_sum|  18|   1000000|     100|0.40117511|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.10463859|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.06881011|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.00153322|   WEAK   
      rgb_lagged_sum|  22|   1000000|     100|0.17501635|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.00375021|   WEAK   
      rgb_lagged_sum|  24|   1000000|     100|0.00000000|  FAILED  
      rgb_lagged_sum|  25|   1000000|     100|0.00008983|   WEAK   
      rgb_lagged_sum|  26|   1000000|     100|0.64429015|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.00075599|   WEAK   
      rgb_lagged_sum|  28|   1000000|     100|0.31617562|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.00000000|  FAILED  
      rgb_lagged_sum|  30|   1000000|     100|0.15455726|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.00000000|  FAILED  
      rgb_lagged_sum|  32|   1000000|     100|0.62940729|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.39673055|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.00000000|  FAILED  
             dab_dct| 256|     50000|       1|0.35908392|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.56608445|  PASSED  
        dab_filltree|  32|  15000000|       1|0.24085815|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.05229352|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.85922265|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|1.00000000|  FAILED  
