#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|/data/spinprng_qs256_stream004.bin|  5.22e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.87542340|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.23616484|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.02478848|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.04422781|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.81734909|  PASSED  
        diehard_opso|   0|   2097152|     100|0.00048557|   WEAK   
        diehard_oqso|   0|   2097152|     100|0.45458457|  PASSED  
         diehard_dna|   0|   2097152|     100|0.38238721|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.62763016|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.21195818|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.85083996|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.78261790|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.07739947|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.01490190|  PASSED  
        diehard_sums|   0|       100|     100|0.14610286|  PASSED  
        diehard_runs|   0|    100000|     100|0.27840048|  PASSED  
        diehard_runs|   0|    100000|     100|0.50906800|  PASSED  
       diehard_craps|   0|    200000|     100|0.00009318|   WEAK   
       diehard_craps|   0|    200000|     100|0.12307700|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
         sts_monobit|   1|    100000|     100|0.67981178|  PASSED  
            sts_runs|   2|    100000|     100|0.77538288|  PASSED  
          sts_serial|   1|    100000|     100|0.99210221|  PASSED  
          sts_serial|   2|    100000|     100|0.55674900|  PASSED  
          sts_serial|   3|    100000|     100|0.66155967|  PASSED  
          sts_serial|   3|    100000|     100|0.27952701|  PASSED  
          sts_serial|   4|    100000|     100|0.74087431|  PASSED  
          sts_serial|   4|    100000|     100|0.38690820|  PASSED  
          sts_serial|   5|    100000|     100|0.89127709|  PASSED  
          sts_serial|   5|    100000|     100|0.20183196|  PASSED  
          sts_serial|   6|    100000|     100|0.94381784|  PASSED  
          sts_serial|   6|    100000|     100|0.12595530|  PASSED  
          sts_serial|   7|    100000|     100|0.72444998|  PASSED  
          sts_serial|   7|    100000|     100|0.58206598|  PASSED  
          sts_serial|   8|    100000|     100|0.85589965|  PASSED  
          sts_serial|   8|    100000|     100|0.99944242|   WEAK   
          sts_serial|   9|    100000|     100|0.64127871|  PASSED  
          sts_serial|   9|    100000|     100|0.52041215|  PASSED  
          sts_serial|  10|    100000|     100|0.42956717|  PASSED  
          sts_serial|  10|    100000|     100|0.69057794|  PASSED  
          sts_serial|  11|    100000|     100|0.79221687|  PASSED  
          sts_serial|  11|    100000|     100|0.74323330|  PASSED  
          sts_serial|  12|    100000|     100|0.85638326|  PASSED  
          sts_serial|  12|    100000|     100|0.16147806|  PASSED  
          sts_serial|  13|    100000|     100|0.96619785|  PASSED  
          sts_serial|  13|    100000|     100|0.30047025|  PASSED  
          sts_serial|  14|    100000|     100|0.90785744|  PASSED  
