#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|/data/spinprng_qs256_stream001.bin|  5.70e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.45773756|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.12085749|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.68508729|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.05111993|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.00000000|  FAILED  
      rgb_lagged_sum|  25|   1000000|     100|0.04269957|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.48320680|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.03447954|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.26389491|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.00000002|  FAILED  
      rgb_lagged_sum|  30|   1000000|     100|0.71041805|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.00000039|  FAILED  
      rgb_lagged_sum|  32|   1000000|     100|0.19107202|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.29228789|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.00000000|  FAILED  
             dab_dct| 256|     50000|       1|0.62073133|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.33974560|  PASSED  
        dab_filltree|  32|  15000000|       1|0.25949385|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.23606011|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.00857482|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|1.00000000|  FAILED  
