#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|/data/spinprng_qs256_stream000.bin|  6.66e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.98261585|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.12279200|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.32519031|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.30943001|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.54951494|  PASSED  
        diehard_opso|   0|   2097152|     100|0.00119494|   WEAK   
        diehard_oqso|   0|   2097152|     100|0.06475341|  PASSED  
         diehard_dna|   0|   2097152|     100|0.19391825|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.24450218|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.07869485|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.69671967|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.99896645|   WEAK   
    diehard_3dsphere|   3|      4000|     100|0.46764792|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.00454516|   WEAK   
        diehard_sums|   0|       100|     100|0.51623870|  PASSED  
        diehard_runs|   0|    100000|     100|0.27692521|  PASSED  
        diehard_runs|   0|    100000|     100|0.86935971|  PASSED  
       diehard_craps|   0|    200000|     100|0.00364424|   WEAK   
       diehard_craps|   0|    200000|     100|0.00018196|   WEAK   
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
         sts_monobit|   1|    100000|     100|0.57002064|  PASSED  
            sts_runs|   2|    100000|     100|0.76266909|  PASSED  
          sts_serial|   1|    100000|     100|0.98166534|  PASSED  
          sts_serial|   2|    100000|     100|0.54561572|  PASSED  
          sts_serial|   3|    100000|     100|0.76795139|  PASSED  
          sts_serial|   3|    100000|     100|0.88025741|  PASSED  
          sts_serial|   4|    100000|     100|0.76669462|  PASSED  
          sts_serial|   4|    100000|     100|0.62784073|  PASSED  
          sts_serial|   5|    100000|     100|0.97411656|  PASSED  
          sts_serial|   5|    100000|     100|0.80096427|  PASSED  
          sts_serial|   6|    100000|     100|0.26120212|  PASSED  
          sts_serial|   6|    100000|     100|0.20972054|  PASSED  
          sts_serial|   7|    100000|     100|0.14057441|  PASSED  
          sts_serial|   7|    100000|     100|0.73527673|  PASSED  
          sts_serial|   8|    100000|     100|0.46724638|  PASSED  
          sts_serial|   8|    100000|     100|0.85127816|  PASSED  
          sts_serial|   9|    100000|     100|0.98028688|  PASSED  
          sts_serial|   9|    100000|     100|0.38302913|  PASSED  
          sts_serial|  10|    100000|     100|0.06916107|  PASSED  
          sts_serial|  10|    100000|     100|0.02389786|  PASSED  
          sts_serial|  11|    100000|     100|0.61157025|  PASSED  
          sts_serial|  11|    100000|     100|0.39308945|  PASSED  
          sts_serial|  12|    100000|     100|0.83644399|  PASSED  
          sts_serial|  12|    100000|     100|0.02099396|  PASSED  
          sts_serial|  13|    100000|     100|0.12738773|  PASSED  
          sts_serial|  13|    100000|     100|0.07181006|  PASSED  
          sts_serial|  14|    100000|     100|0.29115968|  PASSED  
          sts_serial|  14|    100000|     100|0.93142479|  PASSED  
          sts_serial|  15|    100000|     100|0.16692513|  PASSED  
          sts_serial|  15|    100000|     100|0.11272837|  PASSED  
          sts_serial|  16|    100000|     100|0.45926137|  PASSED  
          sts_serial|  16|    100000|     100|0.99654461|   WEAK   
         rgb_bitdist|   1|    100000|     100|0.30863749|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.49645886|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.99261781|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.74560814|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.91952008|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.19671568|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.05488349|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.43599714|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.83323980|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.62625901|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.73713715|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.43185001|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.85057500|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.19119683|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.61510879|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.63573543|  PASSED  
    rgb_permutations|   2|    100000|     100|0.12013894|  PASSED  
    rgb_permutations|   3|    100000|     100|0.82378821|  PASSED  
    rgb_permutations|   4|    100000|     100|0.01033629|  PASSED  
    rgb_permutations|   5|    100000|     100|0.91772942|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.76265185|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.00087689|   WEAK   
      rgb_lagged_sum|   2|   1000000|     100|0.55575194|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.00510541|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.06613320|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.00200550|   WEAK   
      rgb_lagged_sum|   6|   1000000|     100|0.86966959|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.00000000|  FAILED  
      rgb_lagged_sum|   8|   1000000|     100|0.65716049|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.00001341|   WEAK   
      rgb_lagged_sum|  10|   1000000|     100|0.44658736|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.00056783|   WEAK   
      rgb_lagged_sum|  12|   1000000|     100|0.15858850|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.00213176|   WEAK   
      rgb_lagged_sum|  14|   1000000|     100|0.02802404|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.00978906|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.33959296|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.12191010|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.93295448|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.00000000|  FAILED  
      rgb_lagged_sum|  20|   1000000|     100|0.47976530|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.15130249|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.95480908|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.00000000|  FAILED  
      rgb_lagged_sum|  24|   1000000|     100|0.00000000|  FAILED  
      rgb_lagged_sum|  25|   1000000|     100|0.02219111|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.95568270|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.02557905|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.76422330|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.03648297|  PASSED  
