#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|        /data/sut_a_spinprng.bin|  4.16e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.94182297|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.65062075|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.27810854|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.11408965|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.43914379|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.88986918|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.90502065|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.84852241|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.35097786|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.92490401|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.23800000|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.00021316|   WEAK   
      rgb_lagged_sum|  32|   1000000|     100|0.99559346|   WEAK   
     rgb_kstest_test|   0|     10000|    1000|0.29750666|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.99153599|  PASSED  
             dab_dct| 256|     50000|       1|0.80692760|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.00096804|   WEAK   
        dab_filltree|  32|  15000000|       1|0.93530020|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.12147265|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.40899579|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.06209060|  PASSED  
